0, ENVOY_2, train result train_acc ,0.830303
0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.683333
0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.700000
0, ENVOY_3, train result train_acc ,0.725000
0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.695238
0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.676190
0, ENVOY_1, train result train_acc ,0.888889
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.766667
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.733333
0, Aggregator, train result train_acc ,0.792090
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.705481
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.695345
1, ENVOY_1, train result train_acc ,0.877778
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.666667
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.733333
1, ENVOY_2, train result train_acc ,0.836364
1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.733333
1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.700000
1, ENVOY_3, train result train_acc ,0.758333
1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.704762
1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.685714
1, Aggregator, train result train_acc ,0.807652
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.706607
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.699850
2, ENVOY_3, train result train_acc ,0.758333
2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.752381
2, ENVOY_1, train result train_acc ,0.922222
2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.704762
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.700000
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.733333
2, ENVOY_2, train result train_acc ,0.848485
2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.650000
2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.700000
2, Aggregator, train result train_acc ,0.820431
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.708333
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.708859
3, ENVOY_2, train result train_acc ,0.842424
3, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.700000
3, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.616667
3, ENVOY_1, train result train_acc ,0.944444
3, ENVOY_3, train result train_acc ,0.775000
3, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.800000
3, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.752381
3, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.733333
3, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.714286
3, Aggregator, train result train_acc ,0.830708
3, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.744595
3, Aggregator, aggregated_model_validate result validation_accuracy ,0.685961
4, ENVOY_3, train result train_acc ,0.787500
4, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.761905
4, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.742857
