0, ENVOY_2, train result train_acc ,0.476471
0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.371429
0, ENVOY_3, train result train_acc ,0.488235
0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.314286
0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.571429
0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.414286
0, ENVOY_1, train result train_acc ,0.723529
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.385714
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.357143
0, Aggregator, train result train_acc ,0.562745
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.442857
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.361905
1, ENVOY_1, train result train_acc ,0.800000
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.500000
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.457143
1, ENVOY_3, train result train_acc ,0.576471
1, ENVOY_2, train result train_acc ,0.600000
1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.614286
1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.485714
1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.571429
1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.357143
1, Aggregator, train result train_acc ,0.658824
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.533333
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.461905
2, ENVOY_2, train result train_acc ,0.670588
2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.600000
2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.485714
2, ENVOY_1, train result train_acc ,0.911765
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.500000
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.500000
2, ENVOY_3, train result train_acc ,0.664706
2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.685714
2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.657143
2, Aggregator, train result train_acc ,0.749020
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.595238
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.547619
3, ENVOY_3, train result train_acc ,0.735294
3, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.728571
3, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.628571
3, ENVOY_1, train result train_acc ,0.952941
