0, ENVOY_2, train result train_acc ,0.482353
0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.471429
0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.357143
0, ENVOY_3, train result train_acc ,0.494118
0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.500000
0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.428571
0, ENVOY_1, train result train_acc ,0.658824
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.528571
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.471429
0, Aggregator, train result train_acc ,0.545098
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.500000
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.419048
1, ENVOY_1, train result train_acc ,0.788235
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.585714
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.600000
1, ENVOY_2, train result train_acc ,0.664706
1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.514286
1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.442857
1, ENVOY_3, train result train_acc ,0.600000
1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.585714
1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.414286
1, Aggregator, train result train_acc ,0.684314
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.561905
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.485714
2, ENVOY_3, train result train_acc ,0.705882
2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.628571
2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.514286
2, ENVOY_1, train result train_acc ,0.864706
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.600000
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.685714
2, ENVOY_2, train result train_acc ,0.735294
2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.571429
2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.485714
2, Aggregator, train result train_acc ,0.768627
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.600000
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.561905
3, ENVOY_2, train result train_acc ,0.817647
3, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.585714
3, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.514286
3, ENVOY_3, train result train_acc ,0.729412
3, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.628571
3, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.614286
3, ENVOY_1, train result train_acc ,0.911765
3, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.614286
3, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.714286
3, Aggregator, train result train_acc ,0.819608
3, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.609524
3, Aggregator, aggregated_model_validate result validation_accuracy ,0.614286
4, ENVOY_1, train result train_acc ,0.900000
4, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.642857
4, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.700000
4, ENVOY_2, train result train_acc ,0.823529
4, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.571429
4, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.542857
4, ENVOY_3, train result train_acc ,0.764706
4, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.671429
4, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.600000
4, Aggregator, train result train_acc ,0.829412
4, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.628571
4, Aggregator, aggregated_model_validate result validation_accuracy ,0.614286
5, ENVOY_3, train result train_acc ,0.788235
5, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.771429
5, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.600000
5, ENVOY_1, train result train_acc ,0.911765
5, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.671429
5, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.728571
5, ENVOY_2, train result train_acc ,0.835294
5, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.614286
5, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.557143
5, Aggregator, train result train_acc ,0.845098
5, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.685714
5, Aggregator, aggregated_model_validate result validation_accuracy ,0.628571
6, ENVOY_2, train result train_acc ,0.829412
6, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.628571
6, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.571429
6, ENVOY_3, train result train_acc ,0.811765
6, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.757143
6, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.600000
6, ENVOY_1, train result train_acc ,0.935294
6, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.657143
6, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.700000
6, Aggregator, train result train_acc ,0.858824
6, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.680952
6, Aggregator, aggregated_model_validate result validation_accuracy ,0.623810
7, ENVOY_1, train result train_acc ,0.941176
7, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.671429
7, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.714286
7, ENVOY_2, train result train_acc ,0.835294
7, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.628571
7, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.600000
7, ENVOY_3, train result train_acc ,0.800000
7, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.757143
7, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.714286
7, Aggregator, train result train_acc ,0.858824
7, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.685714
7, Aggregator, aggregated_model_validate result validation_accuracy ,0.676190
8, ENVOY_3, train result train_acc ,0.805882
8, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.785714
8, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.742857
8, ENVOY_1, train result train_acc ,0.941176
8, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.671429
8, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.757143
8, ENVOY_2, train result train_acc ,0.870588
8, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.628571
8, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.600000
8, Aggregator, train result train_acc ,0.872549
8, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.695238
8, Aggregator, aggregated_model_validate result validation_accuracy ,0.700000
9, ENVOY_2, train result train_acc ,0.870588
9, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.657143
9, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.600000
9, ENVOY_3, train result train_acc ,0.823529
9, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.814286
9, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.742857
9, ENVOY_1, train result train_acc ,0.947059
9, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.714286
9, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.757143
9, Aggregator, train result train_acc ,0.880392
9, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.728571
