0, ENVOY_2, train result train_acc ,0.505882
0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.642857
0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.571429
0, ENVOY_3, train result train_acc ,0.550000
0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.620000
0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.520000
0, ENVOY_1, train result train_acc ,0.290000
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.625000
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.500000
0, Aggregator, train result train_acc ,0.484070
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.628507
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.532947
1, ENVOY_1, train result train_acc ,0.690000
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.750000
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.675000
1, ENVOY_2, train result train_acc ,0.664706
1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.657143
1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.657143
1, ENVOY_3, train result train_acc ,0.687500
1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.690000
1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.620000
1, Aggregator, train result train_acc ,0.680484
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.691088
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.643115
2, ENVOY_1, train result train_acc ,0.750000
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.875000
2, ENVOY_3, train result train_acc ,0.750000
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.775000
2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.800000
2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.660000
2, ENVOY_2, train result train_acc ,0.758824
2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.757143
2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.700000
2, Aggregator, train result train_acc ,0.752907
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.800772
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.695946
3, ENVOY_2, train result train_acc ,0.829412
3, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.785714
3, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.785714
3, ENVOY_1, train result train_acc ,0.790000
3, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.925000
3, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.900000
3, ENVOY_3, train result train_acc ,0.812500
3, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.870000
3, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.790000
3, Aggregator, train result train_acc ,0.813624
3, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.853185
3, Aggregator, aggregated_model_validate result validation_accuracy ,0.810393
4, ENVOY_3, train result train_acc ,0.820833
4, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.870000
4, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.880000
4, ENVOY_2, train result train_acc ,0.911765
4, ENVOY_1, train result train_acc ,0.860000
4, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.785714
4, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.950000
4, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.814286
4, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.925000
4, Aggregator, train result train_acc ,0.858534
4, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.858140
4, Aggregator, aggregated_model_validate result validation_accuracy ,0.867310
5, ENVOY_1, train result train_acc ,0.880000
5, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.925000
5, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.925000
5, ENVOY_3, train result train_acc ,0.866667
5, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.900000
5, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
5, ENVOY_2, train result train_acc ,0.911765
5, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.800000
5, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.800000
5, Aggregator, train result train_acc ,0.884160
5, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.872072
5, Aggregator, aggregated_model_validate result validation_accuracy ,0.857883
6, ENVOY_1, train result train_acc ,0.900000
6, ENVOY_2, train result train_acc ,0.911765
6, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.925000
6, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
6, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.925000
6, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.800000
6, ENVOY_3, train result train_acc ,0.879167
6, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
6, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.860000
6, Aggregator, train result train_acc ,0.894025
6, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.872008
6, Aggregator, aggregated_model_validate result validation_accuracy ,0.853153
7, ENVOY_3, train result train_acc ,0.891667
7, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.890000
7, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.880000
7, ENVOY_1, train result train_acc ,0.910000
7, ENVOY_2, train result train_acc ,0.923529
7, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.950000
7, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.800000
7, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.925000
7, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.814286
7, Aggregator, train result train_acc ,0.905788
7, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.872297
7, Aggregator, aggregated_model_validate result validation_accuracy ,0.867310
8, ENVOY_2, train result train_acc ,0.923529
8, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
8, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
8, ENVOY_3, train result train_acc ,0.883333
8, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
8, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.880000
8, ENVOY_1, train result train_acc ,0.940000
8, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.925000
8, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.925000
8, Aggregator, train result train_acc ,0.907778
8, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.872008
8, Aggregator, aggregated_model_validate result validation_accuracy ,0.872008
9, ENVOY_1, train result train_acc ,0.940000
9, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.950000
9, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.975000
9, ENVOY_3, train result train_acc ,0.895833
9, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
9, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
9, ENVOY_2, train result train_acc ,0.929412
9, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.814286
9, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
9, Aggregator, train result train_acc ,0.915627
9, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.872265
9, Aggregator, aggregated_model_validate result validation_accuracy ,0.881885
10, ENVOY_2, train result train_acc ,0.935294
10, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
10, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
10, ENVOY_3, train result train_acc ,0.887500
10, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
10, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.860000
10, ENVOY_1, train result train_acc ,0.930000
10, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
10, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
10, Aggregator, train result train_acc ,0.911647
10, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.886615
10, Aggregator, aggregated_model_validate result validation_accuracy ,0.882111
11, ENVOY_1, train result train_acc ,0.940000
11, ENVOY_2, train result train_acc ,0.929412
11, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
11, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.857143
11, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
11, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
11, ENVOY_3, train result train_acc ,0.900000
11, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.860000
11, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
11, Aggregator, train result train_acc ,0.917597
11, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.881853
11, Aggregator, aggregated_model_validate result validation_accuracy ,0.886840
12, ENVOY_3, train result train_acc ,0.904167
12, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.860000
12, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.860000
12, ENVOY_1, train result train_acc ,0.950000
12, ENVOY_2, train result train_acc ,0.929412
12, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,1.000000
12, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
12, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
12, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
12, Aggregator, train result train_acc ,0.921544
12, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.882111
12, Aggregator, aggregated_model_validate result validation_accuracy ,0.882111
13, ENVOY_2, train result train_acc ,0.935294
13, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.857143
13, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
13, ENVOY_3, train result train_acc ,0.891667
13, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.860000
13, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
13, ENVOY_1, train result train_acc ,0.960000
13, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,1.000000
13, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
13, Aggregator, train result train_acc ,0.919548
13, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.886808
13, Aggregator, aggregated_model_validate result validation_accuracy ,0.886840
14, ENVOY_1, train result train_acc ,0.950000
14, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
14, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
14, ENVOY_3, train result train_acc ,0.904167
14, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
14, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
14, ENVOY_2, train result train_acc ,0.941176
14, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
14, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.857143
14, Aggregator, train result train_acc ,0.925420
14, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.881918
14, Aggregator, aggregated_model_validate result validation_accuracy ,0.891538
15, ENVOY_1, train result train_acc ,0.950000
15, ENVOY_2, train result train_acc ,0.941176
15, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
15, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
15, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
15, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
15, ENVOY_3, train result train_acc ,0.895833
15, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
15, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
15, Aggregator, train result train_acc ,0.921479
15, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.886615
15, Aggregator, aggregated_model_validate result validation_accuracy ,0.886840
16, ENVOY_3, train result train_acc ,0.895833
16, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.870000
16, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.860000
16, ENVOY_1, train result train_acc ,0.940000
16, ENVOY_2, train result train_acc ,0.935294
16, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
16, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
16, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
16, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
16, Aggregator, train result train_acc ,0.917565
16, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.881885
16, Aggregator, aggregated_model_validate result validation_accuracy ,0.882111
17, ENVOY_2, train result train_acc ,0.935294
17, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
17, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
17, ENVOY_3, train result train_acc ,0.895833
17, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
17, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.860000
17, ENVOY_1, train result train_acc ,0.940000
17, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
17, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
17, Aggregator, train result train_acc ,0.917565
17, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.881918
17, Aggregator, aggregated_model_validate result validation_accuracy ,0.877413
18, ENVOY_1, train result train_acc ,0.920000
18, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
18, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
18, ENVOY_3, train result train_acc ,0.900000
18, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.890000
18, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
18, ENVOY_2, train result train_acc ,0.941176
18, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
18, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
18, Aggregator, train result train_acc ,0.917519
18, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.886647
18, Aggregator, aggregated_model_validate result validation_accuracy ,0.886840
19, ENVOY_1, train result train_acc ,0.920000
19, ENVOY_2, train result train_acc ,0.941176
19, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
19, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.857143
19, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
19, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
19, ENVOY_3, train result train_acc ,0.904167
19, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
19, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.860000
19, Aggregator, train result train_acc ,0.919490
19, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.891313
19, Aggregator, aggregated_model_validate result validation_accuracy ,0.877413
20, ENVOY_3, train result train_acc ,0.904167
20, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
20, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.880000
20, ENVOY_2, train result train_acc ,0.941176
20, ENVOY_1, train result train_acc ,0.920000
20, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.857143
20, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
20, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
20, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
20, Aggregator, train result train_acc ,0.919490
20, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.891313
20, Aggregator, aggregated_model_validate result validation_accuracy ,0.886873
21, ENVOY_1, train result train_acc ,0.910000
21, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
21, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
21, ENVOY_3, train result train_acc ,0.908333
21, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.870000
21, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
21, ENVOY_2, train result train_acc ,0.941176
21, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
21, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
21, Aggregator, train result train_acc ,0.919483
21, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.881885
21, Aggregator, aggregated_model_validate result validation_accuracy ,0.886840
22, ENVOY_2, train result train_acc ,0.947059
22, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
22, ENVOY_1, train result train_acc ,0.910000
22, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
22, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
22, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
22, ENVOY_3, train result train_acc ,0.904167
22, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
22, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
22, Aggregator, train result train_acc ,0.919451
22, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.886615
22, Aggregator, aggregated_model_validate result validation_accuracy ,0.882143
23, ENVOY_3, train result train_acc ,0.904167
23, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
23, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
23, ENVOY_1, train result train_acc ,0.920000
23, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
23, ENVOY_2, train result train_acc ,0.947059
23, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
23, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.857143
23, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
23, Aggregator, train result train_acc ,0.921428
23, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.891313
23, Aggregator, aggregated_model_validate result validation_accuracy ,0.882143
24, ENVOY_2, train result train_acc ,0.947059
24, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
24, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
24, ENVOY_3, train result train_acc ,0.908333
24, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
24, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
24, ENVOY_1, train result train_acc ,0.920000
24, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
24, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
24, Aggregator, train result train_acc ,0.923398
24, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.886615
24, Aggregator, aggregated_model_validate result validation_accuracy ,0.882143
25, ENVOY_1, train result train_acc ,0.910000
25, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
25, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
25, ENVOY_3, train result train_acc ,0.912500
25, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.870000
25, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.880000
25, ENVOY_2, train result train_acc ,0.952941
25, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
25, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
25, Aggregator, train result train_acc ,0.925329
25, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.877188
25, Aggregator, aggregated_model_validate result validation_accuracy ,0.886873
26, ENVOY_2, train result train_acc ,0.947059
26, ENVOY_1, train result train_acc ,0.910000
26, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
26, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,1.000000
26, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
26, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
26, ENVOY_3, train result train_acc ,0.912500
26, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
26, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
26, Aggregator, train result train_acc ,0.923391
26, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.886873
26, Aggregator, aggregated_model_validate result validation_accuracy ,0.882143
27, ENVOY_3, train result train_acc ,0.904167
27, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
27, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
27, ENVOY_2, train result train_acc ,0.947059
27, ENVOY_1, train result train_acc ,0.910000
27, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
27, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
27, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
27, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
27, Aggregator, train result train_acc ,0.919451
27, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.886615
27, Aggregator, aggregated_model_validate result validation_accuracy ,0.886840
28, ENVOY_1, train result train_acc ,0.910000
28, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
28, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
28, ENVOY_3, train result train_acc ,0.908333
28, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.890000
28, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.880000
28, ENVOY_2, train result train_acc ,0.952941
28, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
28, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
28, Aggregator, train result train_acc ,0.923359
28, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.886647
28, Aggregator, aggregated_model_validate result validation_accuracy ,0.886873
29, ENVOY_2, train result train_acc ,0.952941
29, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
29, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
29, ENVOY_1, train result train_acc ,0.910000
29, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
29, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
29, ENVOY_3, train result train_acc ,0.908333
29, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
29, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.880000
29, Aggregator, train result train_acc ,0.923359
29, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.881918
29, Aggregator, aggregated_model_validate result validation_accuracy ,0.886873
30, ENVOY_3, train result train_acc ,0.916667
30, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.870000
30, ENVOY_2, train result train_acc ,0.952941
30, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.880000
30, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
30, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
30, ENVOY_1, train result train_acc ,0.920000
30, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.950000
30, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
30, Aggregator, train result train_acc ,0.929277
30, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.872233
30, Aggregator, aggregated_model_validate result validation_accuracy ,0.886873
31, ENVOY_1, train result train_acc ,0.920000
31, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
31, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
31, ENVOY_2, train result train_acc ,0.952941
31, ENVOY_3, train result train_acc ,0.920833
31, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
31, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
31, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
31, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.870000
31, Aggregator, train result train_acc ,0.931247
31, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.886615
31, Aggregator, aggregated_model_validate result validation_accuracy ,0.882143
32, ENVOY_3, train result train_acc ,0.916667
32, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.890000
32, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.880000
32, ENVOY_1, train result train_acc ,0.910000
32, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,1.000000
32, ENVOY_1, aggregated_model_validate result validation_accuracy ,1.000000
32, ENVOY_2, train result train_acc ,0.947059
32, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.857143
32, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
32, Aggregator, train result train_acc ,0.925362
32, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.900997
32, Aggregator, aggregated_model_validate result validation_accuracy ,0.891570
33, ENVOY_2, train result train_acc ,0.952941
33, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.828571
33, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.842857
33, ENVOY_3, train result train_acc ,0.912500
33, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.880000
33, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.880000
33, ENVOY_1, train result train_acc ,0.910000
33, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.975000
