0, ENVOY_1, train result train_acc ,0.448000
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.455000
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.420000
0, Aggregator, train result train_acc ,0.448000
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.455000
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.420000
1, ENVOY_1, train result train_acc ,0.560000
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.505000
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.445000
1, Aggregator, train result train_acc ,0.560000
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.505000
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.445000
2, ENVOY_1, train result train_acc ,0.634000
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.580000
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.505000
2, Aggregator, train result train_acc ,0.634000
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.580000
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.505000
3, ENVOY_1, train result train_acc ,0.690000
3, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.685000
3, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.575000
3, Aggregator, train result train_acc ,0.690000
3, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.685000
3, Aggregator, aggregated_model_validate result validation_accuracy ,0.575000
4, ENVOY_1, train result train_acc ,0.764000
4, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.710000
4, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.685000
4, Aggregator, train result train_acc ,0.764000
4, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.710000
4, Aggregator, aggregated_model_validate result validation_accuracy ,0.685000
5, ENVOY_1, train result train_acc ,0.818000
5, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.750000
5, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.710000
5, Aggregator, train result train_acc ,0.818000
5, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.750000
5, Aggregator, aggregated_model_validate result validation_accuracy ,0.710000
6, ENVOY_1, train result train_acc ,0.840000
6, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.755000
6, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.745000
6, Aggregator, train result train_acc ,0.840000
6, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.755000
6, Aggregator, aggregated_model_validate result validation_accuracy ,0.745000
7, ENVOY_1, train result train_acc ,0.868000
7, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.780000
7, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.770000
7, Aggregator, train result train_acc ,0.868000
7, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.780000
7, Aggregator, aggregated_model_validate result validation_accuracy ,0.770000
8, ENVOY_1, train result train_acc ,0.882000
8, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.810000
8, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.780000
8, Aggregator, train result train_acc ,0.882000
8, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.810000
8, Aggregator, aggregated_model_validate result validation_accuracy ,0.780000
9, ENVOY_1, train result train_acc ,0.896000
