0, ENVOY_2, train result train_acc ,0.517647
0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.557143
0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.528571
0, ENVOY_3, train result train_acc ,0.441176
0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.614286
0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.528571
0, ENVOY_1, train result train_acc ,0.311765
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.571429
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.500000
0, Aggregator, train result train_acc ,0.423529
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.580952
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.519048
1, ENVOY_1, train result train_acc ,0.558824
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.600000
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.614286
1, ENVOY_2, train result train_acc ,0.594118
1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.600000
1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.528571
1, ENVOY_3, train result train_acc ,0.517647
1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.642857
1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.571429
1, Aggregator, train result train_acc ,0.556863
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.614286
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.571429
2, ENVOY_3, train result train_acc ,0.647059
2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.671429
2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.642857
2, ENVOY_1, train result train_acc ,0.805882
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.671429
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.557143
2, ENVOY_2, train result train_acc ,0.688235
2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.600000
2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.600000
2, Aggregator, train result train_acc ,0.713726
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.647619
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.600000
3, ENVOY_2, train result train_acc ,0.752941
3, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.614286
3, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.600000
3, ENVOY_3, train result train_acc ,0.670588
3, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.657143
3, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.614286
3, ENVOY_1, train result train_acc ,0.882353
3, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.657143
3, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.700000
3, Aggregator, train result train_acc ,0.768627
3, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.642857
3, Aggregator, aggregated_model_validate result validation_accuracy ,0.638095
4, ENVOY_1, train result train_acc ,0.900000
4, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.642857
