0, ENVOY_2, train result train_acc ,0.569697
0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.633333
0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.383333
0, ENVOY_3, train result train_acc ,0.593939
0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.616667
0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.466667
0, ENVOY_1, train result train_acc ,0.557576
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.550000
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.366667
0, Aggregator, train result train_acc ,0.573737
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.600000
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.405556
1, ENVOY_1, train result train_acc ,0.836364
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.700000
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.666667
1, ENVOY_2, train result train_acc ,0.812121
1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.716667
1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.566667
1, ENVOY_3, train result train_acc ,0.769697
1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.683333
1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.616667
1, Aggregator, train result train_acc ,0.806061
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.700000
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.616667
2, ENVOY_3, train result train_acc ,0.800000
2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.683333
2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.700000
2, ENVOY_1, train result train_acc ,0.878788
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.766667
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.750000
2, ENVOY_2, train result train_acc ,0.848485
2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.733333
2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.666667
2, Aggregator, train result train_acc ,0.842424
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.727778
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.705556
3, ENVOY_2, train result train_acc ,0.878788
3, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.766667
3, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.700000
3, ENVOY_3, train result train_acc ,0.836364
3, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.716667
3, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.733333
3, ENVOY_1, train result train_acc ,0.896970
3, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.700000
3, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.816667
3, Aggregator, train result train_acc ,0.870707
3, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.727778
3, Aggregator, aggregated_model_validate result validation_accuracy ,0.750000
4, ENVOY_1, train result train_acc ,0.890909
4, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.783333
4, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.850000
4, ENVOY_2, train result train_acc ,0.872727
4, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.783333
4, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.783333
4, ENVOY_3, train result train_acc ,0.848485
4, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.750000
4, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.650000
4, Aggregator, train result train_acc ,0.870707
4, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.772222
4, Aggregator, aggregated_model_validate result validation_accuracy ,0.761111
5, ENVOY_3, train result train_acc ,0.866667
5, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.800000
5, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.700000
5, ENVOY_1, train result train_acc ,0.903030
5, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.866667
5, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.850000
5, ENVOY_2, train result train_acc ,0.884848
5, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.783333
5, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.733333
5, Aggregator, train result train_acc ,0.884848
5, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.816667
5, Aggregator, aggregated_model_validate result validation_accuracy ,0.761111
6, ENVOY_2, train result train_acc ,0.903030
6, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.816667
6, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.766667
6, ENVOY_3, train result train_acc ,0.866667
6, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.816667
6, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.800000
6, ENVOY_1, train result train_acc ,0.927273
6, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.850000
6, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.850000
6, Aggregator, train result train_acc ,0.898990
6, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.827778
6, Aggregator, aggregated_model_validate result validation_accuracy ,0.805556
7, ENVOY_1, train result train_acc ,0.915152
7, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.833333
7, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.883333
7, ENVOY_2, train result train_acc ,0.903030
7, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.783333
7, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.816667
7, ENVOY_3, train result train_acc ,0.872727
7, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.850000
7, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.833333
7, Aggregator, train result train_acc ,0.896970
7, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.822222
7, Aggregator, aggregated_model_validate result validation_accuracy ,0.844444
8, ENVOY_3, train result train_acc ,0.884848
8, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.800000
8, ENVOY_1, train result train_acc ,0.933333
8, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.783333
8, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.883333
8, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.916667
8, ENVOY_2, train result train_acc ,0.909091
8, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.833333
8, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.816667
8, Aggregator, train result train_acc ,0.909091
8, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.838889
8, Aggregator, aggregated_model_validate result validation_accuracy ,0.838889
9, ENVOY_2, train result train_acc ,0.903030
9, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.816667
9, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.833333
9, ENVOY_3, train result train_acc ,0.872727
9, ENVOY_1, train result train_acc ,0.939394
9, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.816667
9, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.883333
9, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.800000
9, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.883333
9, Aggregator, train result train_acc ,0.905051
9, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.838889
9, Aggregator, aggregated_model_validate result validation_accuracy ,0.838889
10, ENVOY_1, train result train_acc ,0.933333
10, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.850000
10, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.866667
10, ENVOY_2, train result train_acc ,0.921212
10, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.833333
10, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.850000
10, ENVOY_3, train result train_acc ,0.884848
10, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.816667
10, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.783333
10, Aggregator, train result train_acc ,0.913131
10, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.833333
10, Aggregator, aggregated_model_validate result validation_accuracy ,0.833333
11, ENVOY_3, train result train_acc ,0.878788
11, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.850000
11, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.833333
11, ENVOY_2, train result train_acc ,0.915152
11, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.800000
11, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.816667
11, ENVOY_1, train result train_acc ,0.939394
11, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.883333
11, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.916667
11, Aggregator, train result train_acc ,0.911111
11, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.844444
11, Aggregator, aggregated_model_validate result validation_accuracy ,0.855556
12, ENVOY_1, train result train_acc ,0.939394
12, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.883333
12, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.933333
12, ENVOY_3, train result train_acc ,0.896970
12, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.833333
12, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.850000
12, ENVOY_2, train result train_acc ,0.927273
12, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.833333
12, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.800000
12, Aggregator, train result train_acc ,0.921212
12, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.850000
12, Aggregator, aggregated_model_validate result validation_accuracy ,0.861111
13, ENVOY_2, train result train_acc ,0.921212
13, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.866667
13, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.800000
13, ENVOY_1, train result train_acc ,0.939394
13, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.933333
13, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.933333
13, ENVOY_3, train result train_acc ,0.896970
13, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.833333
13, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.866667
13, Aggregator, train result train_acc ,0.919192
13, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.877778
13, Aggregator, aggregated_model_validate result validation_accuracy ,0.866667
14, ENVOY_3, train result train_acc ,0.890909
14, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.850000
14, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.816667
14, ENVOY_2, train result train_acc ,0.927273
14, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.883333
14, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.800000
14, ENVOY_1, train result train_acc ,0.945455
14, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.916667
14, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.950000
14, Aggregator, train result train_acc ,0.921212
14, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.883333
14, Aggregator, aggregated_model_validate result validation_accuracy ,0.855556
15, ENVOY_1, train result train_acc ,0.945455
15, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.933333
15, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.983333
15, ENVOY_3, train result train_acc ,0.896970
15, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.833333
15, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.833333
15, ENVOY_2, train result train_acc ,0.927273
15, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.850000
15, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.833333
15, Aggregator, train result train_acc ,0.923232
15, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.872222
15, Aggregator, aggregated_model_validate result validation_accuracy ,0.883333
16, ENVOY_2, train result train_acc ,0.927273
16, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.866667
16, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.833333
16, ENVOY_1, train result train_acc ,0.945455
16, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.916667
16, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.950000
16, ENVOY_3, train result train_acc ,0.884848
16, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.833333
16, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.850000
16, Aggregator, train result train_acc ,0.919192
16, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.872222
16, Aggregator, aggregated_model_validate result validation_accuracy ,0.877778
17, ENVOY_3, train result train_acc ,0.896970
17, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.850000
17, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.833333
17, ENVOY_2, train result train_acc ,0.921212
17, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.850000
17, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.800000
17, ENVOY_1, train result train_acc ,0.945455
17, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.933333
17, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.966667
17, Aggregator, train result train_acc ,0.921212
17, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.877778
17, Aggregator, aggregated_model_validate result validation_accuracy ,0.866667
18, ENVOY_1, train result train_acc ,0.945455
18, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.950000
18, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.966667
18, ENVOY_3, train result train_acc ,0.903030
18, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.833333
18, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.850000
18, ENVOY_2, train result train_acc ,0.939394
18, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.833333
18, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.833333
18, Aggregator, train result train_acc ,0.929293
18, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.872222
18, Aggregator, aggregated_model_validate result validation_accuracy ,0.883333
19, ENVOY_2, train result train_acc ,0.939394
19, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.866667
19, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.866667
19, ENVOY_1, train result train_acc ,0.945455
19, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.966667
19, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.966667
19, ENVOY_3, train result train_acc ,0.903030
19, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.850000
19, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.883333
19, Aggregator, train result train_acc ,0.929293
19, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.894444
19, Aggregator, aggregated_model_validate result validation_accuracy ,0.905556
20, ENVOY_3, train result train_acc ,0.909091
20, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.866667
20, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.850000
20, ENVOY_2, train result train_acc ,0.933333
20, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.816667
20, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.850000
20, ENVOY_1, train result train_acc ,0.945455
20, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.916667
20, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.966667
20, Aggregator, train result train_acc ,0.929293
20, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.866667
20, Aggregator, aggregated_model_validate result validation_accuracy ,0.888889
21, ENVOY_1, train result train_acc ,0.939394
21, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.933333
21, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.966667
21, ENVOY_3, train result train_acc ,0.915152
21, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.883333
21, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.833333
21, ENVOY_2, train result train_acc ,0.933333
21, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.833333
