0, ENVOY_3, train result train_acc ,0.679070
0, ENVOY_2, train result train_acc ,0.669186
0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.635135
0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.640541
0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.293243
0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.286486
0, ENVOY_1, train result train_acc ,0.688372
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.581081
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.293243
0, Aggregator, train result train_acc ,0.678876
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.618919
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.290991
1, ENVOY_1, train result train_acc ,0.864535
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.731081
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.620270
1, ENVOY_3, train result train_acc ,0.849419
1, ENVOY_2, train result train_acc ,0.860465
1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.810811
1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.805405
1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.617568
1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.613514
1, Aggregator, train result train_acc ,0.858140
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.782432
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.617117
2, ENVOY_2, train result train_acc ,0.911628
2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.845946
2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.789189
2, ENVOY_1, train result train_acc ,0.915116
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.854054
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.790541
2, ENVOY_3, train result train_acc ,0.909884
2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.840541
2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.800000
2, Aggregator, train result train_acc ,0.912209
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.846847
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.793243
3, ENVOY_3, train result train_acc ,0.919186
3, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.845946
3, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.840541
3, ENVOY_1, train result train_acc ,0.925000
3, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.845946
3, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.854054
3, ENVOY_2, train result train_acc ,0.918023
3, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.852703
3, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.845946
3, Aggregator, train result train_acc ,0.920736
3, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.848198
3, Aggregator, aggregated_model_validate result validation_accuracy ,0.846847
4, ENVOY_2, train result train_acc ,0.923837
4, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.848649
4, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.848649
4, ENVOY_1, train result train_acc ,0.927326
4, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.844595
4, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.859459
4, ENVOY_3, train result train_acc ,0.923837
4, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.845946
4, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.845946
4, Aggregator, train result train_acc ,0.925000
4, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.846396
4, Aggregator, aggregated_model_validate result validation_accuracy ,0.851351
5, ENVOY_3, train result train_acc ,0.923837
5, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.847297
5, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.845946
5, ENVOY_1, train result train_acc ,0.930233
5, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.848649
5, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.859459
5, ENVOY_2, train result train_acc ,0.926163
5, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.852703
5, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.848649
5, Aggregator, train result train_acc ,0.926744
5, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.849550
5, Aggregator, aggregated_model_validate result validation_accuracy ,0.851351
6, ENVOY_2, train result train_acc ,0.927907
6, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.862162
6, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.854054
6, ENVOY_1, train result train_acc ,0.932558
6, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.843243
6, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.863514
6, ENVOY_3, train result train_acc ,0.925000
6, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.855405
6, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.851351
6, Aggregator, train result train_acc ,0.928488
6, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.853604
6, Aggregator, aggregated_model_validate result validation_accuracy ,0.856306
7, ENVOY_3, train result train_acc ,0.926744
7, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.832432
7, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.859459
7, ENVOY_1, train result train_acc ,0.930814
7, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.829730
7, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.868919
7, ENVOY_2, train result train_acc ,0.927907
7, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.856757
7, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.858108
7, Aggregator, train result train_acc ,0.928488
7, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.839640
7, Aggregator, aggregated_model_validate result validation_accuracy ,0.862162
8, ENVOY_3, train result train_acc ,0.925581
8, ENVOY_2, train result train_acc ,0.929651
8, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.851351
8, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.862162
8, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.847297
8, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.822973
8, ENVOY_1, train result train_acc ,0.932558
8, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.818919
8, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.848649
8, Aggregator, train result train_acc ,0.929264
