0, ENVOY_2, train result train_acc ,0.411765
0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.300000
0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.414286
0, ENVOY_3, train result train_acc ,0.483333
0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.390000
0, ENVOY_1, train result train_acc ,0.440000
0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.310000
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.425000
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.550000
0, Aggregator, train result train_acc ,0.451189
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.367342
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.391860
1, ENVOY_1, train result train_acc ,0.670000
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.400000
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.500000
1, ENVOY_2, train result train_acc ,0.517647
1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.342857
1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.300000
1, ENVOY_3, train result train_acc ,0.487500
1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.470000
1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.390000
1, Aggregator, train result train_acc ,0.533508
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.414318
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.382207
2, ENVOY_3, train result train_acc ,0.554167
2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.510000
2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.450000
2, ENVOY_2, train result train_acc ,0.641176
2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.371429
2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.328571
2, ENVOY_1, train result train_acc ,0.770000
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.500000
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.475000
2, Aggregator, train result train_acc ,0.625497
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.462452
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.415026
3, ENVOY_1, train result train_acc ,0.830000
3, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.575000
