0, ENVOY_2, train result train_acc ,0.570588
0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.571429
0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.528571
0, ENVOY_3, train result train_acc ,0.447059
0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.571429
0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.485714
0, ENVOY_1, train result train_acc ,0.647059
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.500000
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.485714
0, Aggregator, train result train_acc ,0.554902
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.547619
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.500000
1, ENVOY_1, train result train_acc ,0.876471
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.542857
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.585714
1, ENVOY_2, train result train_acc ,0.729412
1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.585714
1, ENVOY_3, train result train_acc ,0.635294
1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.600000
1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.614286
1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.542857
1, Aggregator, train result train_acc ,0.747059
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.580952
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.576190
2, ENVOY_3, train result train_acc ,0.676471
2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.614286
2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.542857
2, ENVOY_1, train result train_acc ,0.894118
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.514286
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.642857
2, ENVOY_2, train result train_acc ,0.717647
2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.600000
2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.514286
2, Aggregator, train result train_acc ,0.762745
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.576190
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.566667
3, ENVOY_2, train result train_acc ,0.776471
3, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.628571
3, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.542857
3, ENVOY_3, train result train_acc ,0.694118
3, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.585714
3, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.571429
3, ENVOY_1, train result train_acc ,0.929412
3, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.600000
3, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.657143
3, Aggregator, train result train_acc ,0.800000
3, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.604762
3, Aggregator, aggregated_model_validate result validation_accuracy ,0.590476
4, ENVOY_1, train result train_acc ,0.941176
4, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.628571
4, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.671429
4, ENVOY_2, train result train_acc ,0.829412
4, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.614286
4, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.571429
4, ENVOY_3, train result train_acc ,0.729412
4, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.685714
4, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.585714
4, Aggregator, train result train_acc ,0.833333
4, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.642857
4, Aggregator, aggregated_model_validate result validation_accuracy ,0.609524
5, ENVOY_3, train result train_acc ,0.764706
5, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.700000
5, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.628571
5, ENVOY_1, train result train_acc ,0.941176
5, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.657143
5, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.757143
5, ENVOY_2, train result train_acc ,0.847059
5, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.771429
5, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.585714
5, Aggregator, train result train_acc ,0.850980
5, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.709524
5, Aggregator, aggregated_model_validate result validation_accuracy ,0.657143
6, ENVOY_2, train result train_acc ,0.882353
6, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.771429
6, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.657143
6, ENVOY_3, train result train_acc ,0.823529
6, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.785714
6, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.700000
6, ENVOY_1, train result train_acc ,0.947059
6, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.828571
6, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.842857
6, Aggregator, train result train_acc ,0.884314
6, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.795238
6, Aggregator, aggregated_model_validate result validation_accuracy ,0.733333
7, ENVOY_1, train result train_acc ,0.947059
7, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.842857
7, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.885714
7, ENVOY_2, train result train_acc ,0.894118
7, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.800000
7, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.800000
7, ENVOY_3, train result train_acc ,0.858824
7, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.828571
7, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.742857
7, Aggregator, train result train_acc ,0.900000
7, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.823810
7, Aggregator, aggregated_model_validate result validation_accuracy ,0.809524
8, ENVOY_3, train result train_acc ,0.841176
8, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.842857
8, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.771429
8, ENVOY_1, train result train_acc ,0.947059
8, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.900000
8, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.885714
8, ENVOY_2, train result train_acc ,0.900000
8, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.814286
8, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.800000
8, Aggregator, train result train_acc ,0.896078
8, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.852381
8, Aggregator, aggregated_model_validate result validation_accuracy ,0.819048
9, ENVOY_2, train result train_acc ,0.911765
9, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
9, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.814286
9, ENVOY_3, train result train_acc ,0.858824
9, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.828571
9, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.828571
9, ENVOY_1, train result train_acc ,0.952941
9, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.914286
9, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.900000
9, Aggregator, train result train_acc ,0.907843
9, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.861905
9, Aggregator, aggregated_model_validate result validation_accuracy ,0.847619
10, ENVOY_1, train result train_acc ,0.958824
10, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.914286
10, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.942857
10, ENVOY_2, train result train_acc ,0.935294
10, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.814286
10, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.785714
10, ENVOY_3, train result train_acc ,0.870588
10, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.842857
10, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.828571
10, Aggregator, train result train_acc ,0.921569
10, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.857143
10, Aggregator, aggregated_model_validate result validation_accuracy ,0.852381
11, ENVOY_3, train result train_acc ,0.888235
11, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.828571
11, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.828571
11, ENVOY_1, train result train_acc ,0.952941
11, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.914286
11, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.957143
11, ENVOY_2, train result train_acc ,0.935294
11, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.857143
11, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.785714
11, Aggregator, train result train_acc ,0.925490
11, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.866667
11, Aggregator, aggregated_model_validate result validation_accuracy ,0.857143
12, ENVOY_2, train result train_acc ,0.929412
12, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.842857
12, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.814286
12, ENVOY_3, train result train_acc ,0.876471
12, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.871429
12, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.828571
12, ENVOY_1, train result train_acc ,0.952941
12, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.957143
12, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.985714
12, Aggregator, train result train_acc ,0.919608
12, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.890476
12, Aggregator, aggregated_model_validate result validation_accuracy ,0.876190
13, ENVOY_1, train result train_acc ,0.941176
13, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.942857
13, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.985714
13, ENVOY_2, train result train_acc ,0.929412
13, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.857143
13, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.828571
13, ENVOY_3, train result train_acc ,0.876471
